game;n.players;int.rule;end.rule;winner1.perc;winner2.perc;winner3.perc;winner4.perc;winner5.perc;winner6.perc;moves.mean;moves.sd;moves.min;moves.25%;moves.median;moves.75%;moves.max;rounds.mean;rounds.sd;rounds.min;rounds.25%;rounds.median;rounds.75%;rounds.max;ahead1.mean.perc;ahead1.sd.perc;ahead1.min.perc;ahead1.25%.perc;ahead1.median.perc;ahead1.75%.perc;ahead1.max.perc;ahead2.mean.perc;ahead2.sd.perc;ahead2.min.perc;ahead2.25%.perc;ahead2.median.perc;ahead2.75%.perc;ahead2.max.perc;ahead3.mean.perc;ahead3.sd.perc;ahead3.min.perc;ahead3.25%.perc;ahead3.median.perc;ahead3.75%.perc;ahead3.max.perc;ahead4.mean.perc;ahead4.sd.perc;ahead4.min.perc;ahead4.25%.perc;ahead4.median.perc;ahead4.75%.perc;ahead4.max.perc;ahead5.mean.perc;ahead5.sd.perc;ahead5.min.perc;ahead5.25%.perc;ahead5.median.perc;ahead5.75%.perc;ahead5.max.perc;ahead6.mean.perc;ahead6.sd.perc;ahead6.min.perc;ahead6.25%.perc;ahead6.median.perc;ahead6.75%.perc;ahead6.max.perc;persistence.mean.perc;persistence.sd.perc;persistence.min.perc;persistence.25%.perc;persistence.median.perc;persistence.75%.perc;persistence.max.perc;persistence.1rounds;persistence.2rounds;persistence.3rounds;persistence.4rounds;persistence.5rounds;persistence.6rounds;persistence.7rounds;persistence.8rounds;persistence.9rounds;persistence.10rounds;persistence.11rounds;persistence.12rounds;persistence.13rounds;persistence.14rounds;persistence.15rounds;persistence.16rounds;persistence.17rounds;persistence.18rounds;persistence.19rounds;persistence.20rounds;1.players.ahead;2.players.ahead;3.players.ahead;4.players.ahead;5.players.ahead;6.players.ahead;not.random;lognorm.mean;lognorm.sd;lognorm.logLik;lognorm.AIC
althoen;5;stop;stop;0,2172;0,21108;0,19918;0,19028;0,18226;NA;89,96262;33,79900102;31;66;84;109;360;18,59292;6,76254098;7;14;17;22;73;0,27757737;0,252024691;0,016393443;0,071428571;0,181818182;0,421052632;1;0,198455837;0,243148533;0;0;0,1;0,333333333;0,967741935;0,184031941;0,235391483;0;0;0,076923077;0,307692308;0,96875;0,17084003;0,226868634;0;0;0,0625;0,285714286;0,971428571;0,169094821;0,227053785;0;0;0,058823529;0,28;0,970588235;NA;NA;NA;NA;NA;NA;NA;0,343041565;0,265490407;0,01754386;0,111111111;0,285714286;0,5;1;9723;4896;4360;4934;4801;3881;3003;2596;2153;1739;1475;1304;1119;914;707;576;417;337;228;199;1036;9065;18946;15732;5221;NA;1;2,860022488;0,354504679;-162096,3644;324196,7287
daykin;5;stop;stop;0,21558;0,2084;0,1975;0,19448;0,18404;NA;104,8657;48,4597791;26;71;95;128;607;21,57258;9,694634179;6;15;20;26;122;0,281931714;0,22852761;0,016666667;0,1;0,217391304;0,4;1;0,203250857;0,219060635;0;0;0,137931034;0,3125;0,970588235;0,183420113;0,210150247;0;0;0,115384615;0,285714286;0,971428571;0,170167888;0,203534173;0;0;0,1;0,264705882;0,971428571;0,161229428;0,200093818;0;0;0,083333333;0,25;0,966666667;NA;NA;NA;NA;NA;NA;NA;0,366203702;0,234365091;0,011363636;0,181818182;0,321428571;0,5;1;3888;3719;4539;4996;4705;4452;3947;3495;3012;2632;2146;1741;1358;1111;947;710;554;452;362;296;525;5815;14407;16993;12260;NA;1;2,978492975;0,431763995;-177877,768;355759,5361
historical72;5;stop;stop;0,21786;0,20758;0,19878;0,19202;0,18376;NA;93,49844;56,34949993;21;54;78;116;696;19,3002;11,27318862;5;11;16;24;140;0,309336294;0,232416681;0,012048193;0,117647059;0,25;0,444444444;1;0,204188992;0,216537157;0;0;0,142857143;0,333333333;0,971428571;0,180862798;0,206451293;0;0;0,111111111;0,29316092;0,96969697;0,160150118;0,196713533;0;0;0,086956522;0,256410256;0,973684211;0,145461798;0,189213663;0;0;0,068965517;0,233333333;0,967741935;NA;NA;NA;NA;NA;NA;NA;0,286301647;0,233031703;0,009259259;0,1;0,214285714;0,411764706;1;10449;8386;6744;5375;4222;3090;2423;1920;1482;1203;1004;744;610;489;374;304;253;188;155;122;606;6320;16335;17447;9292;NA;1;2,819002666;0,521000138;-179296,8114;358597,6227
historical84;5;stop;stop;0,2311;0,21056;0,19726;0,18484;0,17624;NA;61,27286;32,64566682;11;33;63;82;303;12,8579;6,531909438;3;7;13;17;61;0,354836006;0,261767307;0,023255814;0,133333333;0,285714286;0,538461538;1;0,196128488;0,235282964;0;0;0,1;0,333333333;0,972972973;0,165416298;0,221056786;0;0;0,0625;0,272727273;0,964285714;0,144172161;0,209152569;0;0;0;0,25;0,962962963;0,139447046;0,205950841;0;0;0;0,222222222;0,956521739;NA;NA;NA;NA;NA;NA;NA;0,35292761;0,25290928;0,023255814;0,15;0,285714286;0,5;1;15322;8667;5315;3744;3112;2494;2066;1681;1504;1337;1126;891;727;485;390;315;234;164;140;76;1105;11618;20755;13136;3386;NA;1;2,391386081;0,618002301;-166453,0758;332910,1516
abstract;6;stop;stop;0,2811;0,21284;0,16374;0,13466;0,11358;0,09408;175,25106;18,27778844;115;163;175;187;264;29,82442;3,041541827;20;28;30;32;45;0,347980359;0,373623633;0,022222222;0,034482759;0,107142857;0,75862069;1;0,213404351;0,330586585;0;0;0;0,333333333;0,975;0,153768059;0,289661762;0;0;0;0,115384615;0,974358974;0,116899968;0,257297886;0;0;0;0,055555556;0,974358974;0,093403169;0,233744107;0;0;0;0,03125;0,974358974;0,074544094;0,208229944;0;0;0;0;0,974358974;0,554875309;0,350388923;0,022222222;0,181818182;0,62962963;0,896551724;1;5432;2471;1827;1485;1222;1035;926;931;936;962;904;917;975;958;997;1092;1111;1154;1247;1409;2385;18445;21531;6869;749;21;1;3,39014102;0,101903768;-126267,6598;252539,3195
ayres;6;stop;stop;0,19324;0,18094;0,16874;0,16114;0,1526;0,14334;83,62406;35,73194739;31;58;74;102;413;14,52586;5,956703863;6;10;13;18;69;0,274164757;0,240951564;0,014492754;0,083333333;0,166666667;0,428571429;1;0,173940439;0,229502693;0;0;0,058823529;0,303030303;0,96969697;0,156166493;0,219952073;0;0;0;0,272727273;0,96969697;0,141404934;0,210912132;0;0;0;0,25;0,973684211;0,129908115;0,203909188;0;0;0;0,214285714;0,970588235;0,124415262;0,200796274;0;0;0;0,2;0,96969697;0,396447207;0,227464792;0,019607843;0,222222222;0,375;0,533333333;1;5450;6178;6978;5915;4780;4068;3428;2711;2229;1722;1482;1183;929;685;514;429;348;236;183;128;726;9783;20329;13836;4500;826;1;2,602640331;0,374834086;-152015,3538;304034,7076
tantra;6;stop;stop;0,20594;0,18574;0,17118;0,15682;0,14454;0,13578;101,43482;32,03935396;37;77;98;122;289;17,49898;5,338378867;7;13;17;21;49;0,286627814;0,274033778;0,020408163;0,071428571;0,166666667;0,416666667;1;0,184708046;0,25599422;0;0;0,058823529;0,285714286;0,970588235;0,15957683;0,242783788;0;0;0;0,235294118;0,965517241;0,13636741;0,22925826;0;0;0;0,17797619;0,96875;0,121088942;0,219132384;0;0;0;0,136363636;0,972222222;0,111630958;0,212493736;0;0;0;0,1;0,966666667;0,527096705;0,24432923;0,022222222;0,363636364;0,545454545;0,703703704;1;3458;1197;1135;1858;3365;4745;5030;4978;4453;3945;3311;2697;2355;1811;1351;1113;857;644;486;344;1033;10803;20253;13300;4074;537;1;2,816146768;0,305050649;-152390,3923;304784,7846
althoen;6;stop;stop;0,18764;0,17784;0,16712;0,164;0,15482;0,14858;101,95946;36,34051773;37;75;97;122;366;17,58078;6,059400046;7;13;17;21;62;0,249514768;0,23878964;0,019230769;0,066666667;0,142857143;0,375;1;0,170893181;0,231374778;0;0;0,058823529;0,285714286;0,974358974;0,157365366;0,222239602;0;0;0,041666667;0,255963029;0,964285714;0,147826125;0,215778499;0;0;0;0,238095238;0,96969697;0,138783715;0,210115997;0;0;0;0,222222222;0,964285714;0,135616846;0,207912833;0;0;0;0,210526316;0,971428571;0,329018784;0,256326345;0,016129032;0,105263158;0,272727273;0,476190476;1;10541;5391;4818;5213;4766;3865;3010;2409;1989;1597;1342;1159;957;728;588;408;307;261;161;138;777;7829;17136;15776;7079;1403;1;2,809955252;0,337665844;-157159,7643;314323,5285
daykin;6;stop;stop;0,18544;0,17714;0,16964;0,1607;0,1569;0,15018;117,65338;51,08194066;31;81;109;143;503;20,19624;8,515950933;6;14;19;24;84;0,256978666;0,221195218;0,017857143;0,083333333;0,181818182;0,36;1;0,175469725;0,209448171;0;0;0,103448276;0,269230769;0,965517241;0,158771265;0,200523068;0;0;0,083333333;0,25;0,971428571;0,145758668;0,193898823;0;0;0,066666667;0,225201613;0,967741935;0,133691945;0,185886153;0;0;0,055555556;0,2;0,962962963;0,129329732;0,185524466;0;0;0,045454545;0,2;0,962962963;0,360869886;0,230601068;0,012345679;0,181818182;0,318181818;0,5;1;4440;4332;4910;5081;4876;4443;3971;3416;2935;2351;2006;1558;1206;1008;796;616;435;380;290;232;409;4988;12530;15046;11465;5562;1;2,922492969;0,408746397;-172338,5565;344681,113
historical72;6;stop;stop;0,18868;0,17554;0,16652;0,16128;0,1572;0,15078;101,1234;55,10694682;25;63;87;125;656;17,44216;9,183224987;5;11;15;21;110;0,287910553;0,231341787;0,014925373;0,1;0,214285714;0,416666667;1;0,182535597;0,214475657;0;0;0,107142857;0,294117647;0,96969697;0,1569701;0,201865878;0;0;0,076923077;0,25;0,96969697;0,137550557;0,190613647;0;0;0,052631579;0,21875;0,972222222;0,123420782;0,181888024;0;0;0,02173913;0,19047619;0,961538462;0,111612411;0,173946085;0;0;0;0,166666667;0,961538462;0,29975179;0,232972179;0,009803922;0,111111111;0,230769231;0,428571429;1;10540;8384;6533;5464;4136;3218;2453;2003;1545;1212;1015;774;602;484;345;298;242;177;129;108;505;5932;14938;16309;9449;2867;1;2,74166384;0,476165739;-170930,654;341865,308
