game;n.players;int.rule;end.rule;winner1.perc;winner2.perc;winner3.perc;winner4.perc;winner5.perc;winner6.perc;moves.mean;moves.sd;moves.min;moves.25%;moves.median;moves.75%;moves.max;rounds.mean;rounds.sd;rounds.min;rounds.25%;rounds.median;rounds.75%;rounds.max;ahead1.mean.perc;ahead1.sd.perc;ahead1.min.perc;ahead1.25%.perc;ahead1.median.perc;ahead1.75%.perc;ahead1.max.perc;ahead2.mean.perc;ahead2.sd.perc;ahead2.min.perc;ahead2.25%.perc;ahead2.median.perc;ahead2.75%.perc;ahead2.max.perc;ahead3.mean.perc;ahead3.sd.perc;ahead3.min.perc;ahead3.25%.perc;ahead3.median.perc;ahead3.75%.perc;ahead3.max.perc;ahead4.mean.perc;ahead4.sd.perc;ahead4.min.perc;ahead4.25%.perc;ahead4.median.perc;ahead4.75%.perc;ahead4.max.perc;ahead5.mean.perc;ahead5.sd.perc;ahead5.min.perc;ahead5.25%.perc;ahead5.median.perc;ahead5.75%.perc;ahead5.max.perc;ahead6.mean.perc;ahead6.sd.perc;ahead6.min.perc;ahead6.25%.perc;ahead6.median.perc;ahead6.75%.perc;ahead6.max.perc;persistence.mean.perc;persistence.sd.perc;persistence.min.perc;persistence.25%.perc;persistence.median.perc;persistence.75%.perc;persistence.max.perc;persistence.1rounds;persistence.2rounds;persistence.3rounds;persistence.4rounds;persistence.5rounds;persistence.6rounds;persistence.7rounds;persistence.8rounds;persistence.9rounds;persistence.10rounds;persistence.11rounds;persistence.12rounds;persistence.13rounds;persistence.14rounds;persistence.15rounds;persistence.16rounds;persistence.17rounds;persistence.18rounds;persistence.19rounds;persistence.20rounds;1.players.ahead;2.players.ahead;3.players.ahead;4.players.ahead;5.players.ahead;6.players.ahead;not.random;lognorm.mean;lognorm.sd;lognorm.logLik;lognorm.AIC
historical84;6;stop;stop;0,2049;0,18396;0,16476;0,15666;0,15016;0,13956;68,31986;37,03044983;13;34;71;93;300;11,97922;6,170707394;3;6;12;16;51;0,337053172;0,254095078;0,023809524;0,125;0,25;0,5;1;0,173239861;0,223916668;0;0;0,071428571;0,3;0,96;0,144615921;0,208887427;0;0;0;0,25;0,96;0,125497166;0,196218516;0;0;0;0,2;0,961538462;0,109829766;0,186364211;0;0;0;0,166666667;0,956521739;0,109764114;0,185672271;0;0;0;0,157894737;0,954545455;0,34598149;0,242471708;0,019607843;0,153846154;0,285714286;0,5;1;16429;8792;5707;3914;3059;2474;1973;1517;1334;1061;938;782;570;441;303;210;154;99;92;55;945;10562;19157;13834;4766;736;1;2,318547419;0,616638615;-162700,6906;325405,3812
abstract;3;none;loose;0,3909;0,33012;0,27898;NA;NA;NA;79,44594;5,423477279;58;76;79;83;102;27,1316;1,834979232;20;26;27;28;35;0,384255278;0,323127525;0,029411765;0,076923077;0,285714286;0,655172414;1;0,317878165;0,316450202;0;0,035714286;0,206896552;0,571428571;0,96875;0,297866558;0,311182514;0;0;0,178571429;0,538461538;0,970588235;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,459623663;0,326612701;0,029411765;0,148148148;0,413793103;0,769230769;1;5010;3401;2724;2341;2145;1973;1795;1569;1537;1473;1463;1451;1414;1354;1319;1375;1376;1333;1414;1501;2280;19864;27856;NA;NA;NA;1;3,298396696;0,068011915;-101463,1428;202930,2856
ayres;3;none;loose;0,34704;0,33434;0,31862;NA;NA;NA;43,5487;26,03340206;16;25;32;56;267;15,17766;8,68784936;6;9;11;19;90;0,404124807;0,254257386;0,018181818;0,181818182;0,375;0,571428571;1;0,299502899;0,248269753;0;0,090909091;0,272727273;0,454545455;0,962962963;0,296372293;0,252548129;0;0,052631579;0,272727273;0,461538462;0,962962963;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,377235481;0,249770228;0,01369863;0,2;0,333333333;0,454545455;1;3776;8209;11017;7836;3968;2283;2392;2295;1916;1559;1125;847;591;451;439;367;348;252;154;77;1755;18645;29600;NA;NA;NA;1;2,590413117;0,486716723;-164463,9324;328931,8648
tantra;3;none;loose;0,34652;0,3349;0,31858;NA;NA;NA;49,28746;19,77766846;19;33;47;60;199;17,09038;6,603729525;7;12;16;21;67;0,396747865;0,271513706;0,024390244;0,166666667;0,333333333;0,590909091;1;0,307195439;0,267192058;0;0,076923077;0,25;0,5;0,96969697;0,296056696;0,269616394;0;0,055555556;0,227272727;0,5;0,967741935;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,501292745;0,229888902;0,019230769;0,32;0,5;0,666666667;1;1325;929;869;2370;6017;8870;8364;5740;3886;2714;1865;1432;1118;1058;962;748;600;386;248;163;1673;16308;32019;NA;NA;NA;1;2,77049998;0,36476703;-159047,1055;318098,211
althoen;3;none;loose;0,34182;0,33782;0,32036;NA;NA;NA;58,47238;26,22869413;19;39;53;71;306;20,15164;8,750171234;7;14;18;24;103;0,383326201;0,265414648;0,01754386;0,15;0,333333333;0,5625;1;0,309783547;0,26254943;0;0,076923077;0,266666667;0,5;0,975;0,306890251;0,263367776;0;0,071428571;0,263157895;0,5;0,96875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,367162452;0,277584127;0,009708738;0,133333333;0,304347826;0,533333333;1;6696;4187;4222;6052;6192;4131;2652;2062;2138;2094;1958;1524;1309;1021;859;706;529;452;314;239;1616;15557;32827;NA;NA;NA;1;2,919401738;0,405085829;-171734,198;343472,3961
daykin;3;none;loose;0,33958;0,33552;0,3249;NA;NA;NA;65,08732;39,83639183;16;38;54;81;416;22,3589;13,2848252;6;13;19;28;139;0,383225247;0,223152157;0,021276596;0,212121212;0,352941176;0,518518519;1;0,310148769;0,21800778;0;0,142857143;0,290322581;0,448275862;0,954545455;0,306625984;0,221098356;0;0,133333333;0,285714286;0,45;0,952380952;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,309822533;0,235329499;0,008196721;0,133333333;0,24137931;0,416666667;1;3370;5804;7191;7312;6304;5029;4211;3238;2336;1729;1164;775;521;364;233;155;100;65;33;19;856;10562;38582;NA;NA;NA;1;2,960118081;0,533679585;-187554,8483;375113,6966
historical72;3;none;loose;0,33836;0,33516;0,32648;NA;NA;NA;87,04016;69,76047561;13;38;65;113;743;29,67716;23,25786217;5;13;22;38;248;0,402626327;0,211616749;0,015873016;0,242105263;0,377777778;0,538461538;1;0,311852745;0,204515384;0;0,153846154;0,291666667;0,444444444;0,976744186;0,285520928;0,199100874;0;0,133333333;0,263157895;0,411764706;0,961538462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,227156555;0,219373296;0,004651163;0,068181818;0,142857143;0,3125;1;9819;8851;7719;6204;4233;3009;2039;1708;1395;1050;816;631;519;409;344;245;190;186;129;95;565;7867;41568;NA;NA;NA;1;3,137740836;0,703690357;-210263,1258;420530,2516
historical84;3;none;loose;0,34874;0,33612;0,31514;NA;NA;NA;39,98516;20,93981636;7;30;37;49;209;13,98806;6,991927858;3;11;13;17;70;0,420810127;0,264940911;0,025641026;0,2;0,363636364;0,62962963;1;0,291785238;0,254183407;0;0,076923077;0,25;0,466666667;0,96;0,287404636;0,254358516;0;0,066666667;0,24;0,476190476;0,96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,351972791;0,276313354;0,016129032;0,133333333;0,25;0,533333333;1;12712;10594;6019;3174;2489;2337;2202;2182;2080;1856;1556;1052;614;350;246;143;112;104;64;41;1841;17173;30986;NA;NA;NA;1;2,496850871;0,574196146;-168050,259;336104,5181
abstract;4;none;loose;0,30522;0,2613;0,23082;0,20266;NA;NA;104,01324;6,655550363;77;100;104;109;134;26,62324;1,68648415;20;26;27;28;34;0,302496875;0,293801464;0,03125;0,041666667;0,178571429;0,5;1;0,247421868;0,286878348;0;0;0,115384615;0,423076923;0,966666667;0,229327018;0,279316349;0;0;0,103448276;0,391304348;0,966666667;0,220754239;0,277210678;0;0;0,08;0,376077586;0,96875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,401309129;0,308319141;0,029411765;0,115384615;0,333333333;0,666666667;1;6140;4041;3298;2788;2347;2153;2042;1837;1752;1701;1450;1485;1446;1402;1384;1294;1329;1398;1308;1296;1081;11138;24262;13519;NA;NA;1;3,279763491;0,063726084;-97277,03541;194558,0708
ayres;4;none;loose;0,26752;0,25274;0,24466;0,23508;NA;NA;49,46986;26,71702018;21;32;38;64;320;12,99072;6,685444472;6;9;10;17;81;0,337160194;0,237164586;0,02;0,125;0,285714286;0,5;1;0,227704129;0,230139243;0;0;0,181818182;0,375;0,958333333;0,2153404;0,224969003;0;0;0,153846154;0,368421053;0,954545455;0,219795277;0,231800295;0;0;0,153846154;0,375;0,96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,346555711;0,222218059;0,015384615;0,1875;0,3;0,428571429;1;5614;10435;12579;7790;3391;1866;1786;1603;1307;1021;730;523;365;261;216;183;142;103;43;25;952;12397;23466;13185;NA;NA;1;2,46311398;0,425528481;-151381,4558;302766,9115
tantra;4;none;loose;0,264;0,25578;0,24302;0,2372;NA;NA;58,75046;21,45243469;25;42;54;72;246;15,31146;5,368600293;7;11;14;19;62;0,32485127;0,254465735;0,02173913;0,111111111;0,24;0,473684211;1;0,236171159;0,248756693;0;0;0,153846154;0,4;0,956521739;0,219650053;0,243787167;0;0;0,117647059;0,375;0,956521739;0,219327519;0,250045494;0;0;0,111111111;0,380952381;0,965517241;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,488273861;0,216510602;0,018181818;0,333333333;0,5;0,636363636;1;1773;1205;1329;3260;7629;10163;8555;5437;3274;2062;1395;1002;768;563;543;391;280;152;92;57;967;10257;23136;15640;NA;NA;1;2,672662878;0,329805934;-149117,5268;298239,0536
althoen;4;none;loose;0,26064;0,25354;0,2477;0,23812;NA;NA;68,61778;27,93966607;25;48;63;83;288;17,77674;6,990455801;7;13;16;21;73;0,311636854;0,248342269;0,020833333;0,1;0,238095238;0,461538462;1;0,233482738;0,242320403;0;0;0,166666667;0,384615385;0,962962963;0,226407444;0,240067702;0;0;0,153846154;0,375;0,965517241;0,228472964;0,243052911;0;0;0,153846154;0,384615385;0,96875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,335597747;0,258412789;0,01369863;0,12;0,272727273;0,473684211;1;8139;5641;5535;6980;6414;3866;2336;1871;1753;1612;1386;1143;847;681;496;369;293;211;155;79;997;9939;22034;17030;NA;NA;1;2,808199914;0,369361644;-161557,9699;323119,9397
daykin;4;none;loose;0,25926;0,25346;0,24884;0,23844;NA;NA;73,0183;40,25150095;21;46;63;90;484;18,8764;10,06826651;6;12;16;23;122;0,314937243;0,209951777;0,016666667;0,142857143;0,272727273;0,428571429;1;0,236397577;0,204517413;0;0,071428571;0,2;0,357142857;0,947368421;0,225143193;0,202568993;0;0,058823529;0,1875;0,342857143;0,944444444;0,223521987;0,205083451;0;0,047619048;0,185185185;0,347826087;0,947368421;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,292378043;0,216559623;0,012048193;0,130434783;0,230769231;0,391304348;1;5081;7738;8378;8158;6295;4592;3456;2296;1541;988;595;371;211;125;86;48;19;12;3;6;463;6237;18061;25239;NA;NA;1;2,817330319;0,483747788;-175503,8623;351011,7245
historical72;4;none;loose;0,25578;0,25276;0,24696;0,2445;NA;NA;93,23018;69,65311212;17;44;72;120;764;23,932;17,41734318;5;12;19;31;192;0,334696561;0,207349124;0,016393443;0,166666667;0,3;0,458333333;1;0,243310011;0,197833408;0;0,090909091;0,208333333;0,363636364;0,962962963;0,220594978;0,190540762;0;0,071115288;0,181818182;0,333333333;0,952380952;0,201398449;0,183746233;0;0,052631579;0,164515323;0,307692308;0,96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,228632908;0,20771488;0,005208333;0,076923077;0,153846154;0,318181818;1;11771;9522;7872;5957;4067;2704;2007;1473;1192;806;655;458;328;264;201;184;139;95;66;49;372;4548;16164;28916;NA;NA;1;2,960124875;0,643847078;-196938,4686;393880,9371
historical84;4;none;loose;0,26818;0,25382;0,24292;0,23508;NA;NA;46,21322;23,04577227;9;35;46;56;253;12,17716;5,768108854;3;9;12;15;64;0,36081739;0,252166673;0,025;0,153846154;0,285714286;0,533333333;1;0,224526353;0,233726938;0;0;0,153846154;0,35;0,956521739;0,205919749;0,22912025;0;0;0,125;0,333333333;0,96;0,208736508;0,230104573;0;0;0,136363636;0,333333333;0,947368421;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,319716291;0,255073088;0,020408163;0,12;0,230769231;0,461538462;1;16848;11796;5686;2823;2221;1984;1811;1687;1517;1302;951;605;317;185;108;59;45;29;8;8;1200;11362;22616;14822;NA;NA;1;2,361711642;0,571604315;-161067,0946;322138,1891
abstract;5;none;loose;0,25238;0,21824;0,19604;0,1771;0,15624;NA;128,24378;7,791110661;96;123;128;133;157;26,25168;1,580805857;20;25;26;27;32;0,255035726;0,270398842;0,03125;0,04;0,12;0,4;1;0,20157839;0,263096242;0;0;0,074074074;0,321428571;0,965517241;0,190291479;0,257059145;0;0;0,068965517;0,307692308;0,967741935;0,180931574;0,251673154;0;0;0,04;0,285714286;0,965517241;0,172162831;0,246131642;0;0;0,038461538;0,269230769;0,966666667;NA;NA;NA;NA;NA;NA;NA;0,369737707;0,295137256;0,03125;0,111111111;0,291666667;0,6;1;6969;4425;3525;2989;2523;2325;2082;1981;1880;1689;1520;1524;1503;1355;1340;1353;1227;1262;1235;1166;669;7082;19105;17911;5233;NA;1;3,265900448;0,060655994;-94115,10851;188234,217
ayres;5;none;loose;0,21744;0,21168;0,19932;0,18846;0,1831;NA;54,9545;26,90086063;26;38;45;59;283;11,59238;5,385425331;6;8;10;12;57;0,297512161;0,220979028;0,020408163;0,111111111;0,222222222;0,444444444;1;0,18729281;0,214961867;0;0;0,111111111;0,333333333;0,958333333;0,176236201;0,209514729;0;0;0,111111111;0,3;0,952380952;0,166428997;0,205447107;0;0;0,095238095;0,3;0,952380952;0,172529832;0,212835122;0;0;0,090909091;0,315789474;0,954545455;NA;NA;NA;NA;NA;NA;NA;0,327129689;0,201656968;0,018867925;0,181818182;0,3;0,4;1;7225;12033;13393;7373;2814;1592;1341;1204;897;696;459;306;185;145;98;94;62;47;26;6;589;9050;21548;14709;4104;NA;1;2,370577855;0,374419699;-140356,9234;280717,8468
tantra;5;none;loose;0,21698;0,20784;0,20216;0,18536;0,18766;NA;67,84548;23,03543132;31;50;61;83;233;14,17298;4,61437794;7;11;13;17;47;0,285251667;0,238866434;0,027027027;0,1;0,2;0,4;1;0,193642026;0,233389673;0;0;0,1;0,307692308;0,964285714;0,182632864;0,229745831;0;0;0,090909091;0,294117647;0,958333333;0,167850755;0,222758251;0;0;0,074074074;0,266666667;0,95;0,170622689;0,231036667;0;0;0,0625;0,272727273;0,954545455;NA;NA;NA;NA;NA;NA;NA;0,481578359;0,210156816;0,022727273;0,333333333;0,5;0,625;1;2302;1634;1599;3860;8568;10837;8558;4906;2731;1564;1100;736;471;369;264;197;148;69;41;21;624;7691;19304;16640;5741;NA;1;2,603022628;0,305866133;-141867,6707;283739,3414
althoen;5;none;loose;0,20946;0,20338;0,20076;0,19596;0,19044;NA;78,77874;29,46407417;31;57;73;94;359;16,35528;5,900009519;7;12;15;19;72;0,267319963;0,228284989;0,019607843;0,083333333;0,181818182;0,4;1;0,190679301;0,224433522;0;0;0,105263158;0,315789474;0,961538462;0,183966358;0,221910147;0;0;0,095238095;0,307692308;0,958333333;0,177320132;0,218064178;0;0;0,090909091;0,3;0,958333333;0,180714245;0,222921858;0;0;0,086956522;0,307692308;0,971428571;NA;NA;NA;NA;NA;NA;NA;0,311679342;0,241190446;0,013888889;0,111111111;0,25;0,444444444;1;9560;6667;6120;7661;6364;3621;2024;1582;1392;1238;995;795;602;427;299;238;138;93;75;39;592;7240;17997;17474;6697;NA;1;2,734851937;0,342575658;-154126,3862;308256,7725
daykin;5;none;loose;0,20884;0,20486;0,1996;0,19524;0,19146;NA;81,07232;41,00761005;26;53;72;99;491;16,8148;8,205513242;6;11;15;20;99;0,27395842;0,198155223;0,017857143;0,117647059;0,222222222;0,375;1;0,191897678;0,191462065;0;0;0,142857143;0,3;0,947368421;0,182955691;0,188608541;0;0;0,136363636;0,285714286;0,944444444;0,174525836;0,185144835;0;0;0,125;0,272727273;0,941176471;0,176662375;0,190445605;0;0;0,125;0,285714286;0,941176471;NA;NA;NA;NA;NA;NA;NA;0,283237596;0,206560584;0,01369863;0,125;0,227272727;0,375;1;6690;9031;9117;8077;6176;4005;2650;1729;1119;659;350;173;113;52;33;14;7;5;0;0;295;4299;13509;18066;13831;NA;1;2,719270957;0,447610511;-166718,8835;333441,7671
historical72;5;none;loose;0,20654;0,20196;0,1997;0,1962;0,1956;NA;98,12016;68,83772406;21;50;77;124;806;20,22516;13,77058225;5;11;16;25;162;0,2943034;0,200390444;0,012658228;0,133333333;0,25;0,409090909;1;0,201736816;0,19097114;0;0,047619048;0,153846154;0,310344828;0,958333333;0,182442735;0,181900968;0;0;0,135135135;0,285714286;0,947368421;0,167544883;0,175619818;0;0;0,119047619;0,259259259;0,956521739;0,153972165;0,169119751;0;0;0,105263158;0,240506329;0,9375;NA;NA;NA;NA;NA;NA;NA;0,234972741;0,200868763;0,007246377;0,083333333;0,166666667;0,333333333;1;13160;9779;7725;5837;3953;2625;1817;1344;965;690;560;389;308;190;166;129;91;75;48;34;279;3175;11693;18751;16102;NA;1;2,821544676;0,593562673;-185943,5369;371891,0738
historical84;5;none;loose;0,21788;0,2095;0,19868;0,19032;0,18362;NA;52,0661;25,70214121;11;34;55;65;232;11,01438;5,147417132;3;7;12;14;47;0,329984801;0,241578887;0,021276596;0,133333333;0,25;0,5;1;0,185286568;0,2185442;0;0;0,090909091;0,333333333;0,941176471;0,167435739;0,212468352;0;0;0,083333333;0,272727273;0,954545455;0,156195377;0,207538868;0;0;0,071428571;0,25;0,941176471;0,161097515;0,210781715;0;0;0,076923077;0,25;0,947368421;NA;NA;NA;NA;NA;NA;NA;0,303953902;0,241162281;0,023255814;0,111111111;0,222222222;0,4;1;19802;12316;5425;2567;1923;1677;1500;1271;1102;940;718;363;204;82;37;36;20;7;5;2;983;9437;19078;15306;5196;NA;1;2,25905188;0,57689594;-156394,8518;312793,7037
abstract;6;none;loose;0,21412;0,18926;0,17262;0,15594;0,1391;0,12896;152,3712;8,908865131;115;146;152;158;186;25,99024;1,505506584;20;25;26;27;32;0,220513257;0,249076287;0,032258065;0,04;0,103448276;0,32;1;0,17266891;0,245763352;0;0;0,04;0,259259259;0,965517241;0,163951237;0,239342601;0;0;0,038461538;0,24137931;0,966666667;0,154524093;0,233954707;0;0;0,037037037;0,222222222;0,965517241;0,146243004;0,227892262;0;0;0,037037037;0,206896552;0,965517241;0,142099498;0,224863865;0;0;0,035714286;0,192617866;0,965517241;0,345075586;0,284463339;0,03125;0,083333333;0,259259259;0,555555556;1;7697;4894;3673;3150;2744;2307;2170;1951;1752;1787;1651;1526;1441;1421;1271;1278;1200;1124;1083;1120;401;4947;15362;18320;9309;1661;1;3,256027531;0,058361212;-91693,11382;183390,2276
ayres;6;none;loose;0,18698;0,18142;0,16908;0,16364;0,15282;0,14606;60,4788;26,49286674;31;45;51;63;296;10,66718;4,422167111;6;8;9;11;50;0,273856028;0,207828128;0,023809524;0,111111111;0,1875;0,4;1;0,161244874;0,201476165;0;0;0,090909091;0,285714286;0,947368421;0,149131098;0,196119657;0;0;0,045454545;0,256593407;0,947368421;0,141662069;0,192559204;0;0;0;0,25;0,947368421;0,13397122;0,187499749;0;0;0;0,25;0,947368421;0,140134711;0,19599576;0;0;0;0,25;0,952380952;0,312996876;0,186438174;0,02;0,181818182;0,285714286;0,388888889;1;8678;13356;13615;6839;2394;1246;1083;795;700;427;298;196;131;72;60;54;30;18;5;3;427;7074;20120;16009;5316;1054;1;2,304246654;0,331569089;-130963,3054;261930,6108
tantra;6;none;loose;0,1826;0,17704;0,1666;0,1645;0,15786;0,1514;76,72286;24,53128144;37;58;69;93;275;13,37318;4,095828635;7;10;12;16;46;0,258221572;0,224705196;0,03030303;0,095238095;0,166666667;0,347826087;1;0,164724533;0,21868347;0;0;0,08;0,25;0,944444444;0,153312622;0,213633573;0;0;0,066666667;0,222222222;0,95;0,146663849;0,211201425;0;0;0,052631579;0,222222222;0,947368421;0,138724015;0,206711913;0;0;0;0,2;0,944444444;0,138353409;0,213045653;0;0;0;0,2;0,944444444;0,475994574;0,20492353;0,03125;0,333333333;0,5;0,625;1;2796;1917;1878;4441;9470;11073;8137;4398;2267;1289;827;526;327;231;172;119;63;35;17;9;447;6075;16963;16972;7926;1617;1;2,550605251;0,286792924;-136027,4471;272058,8942
althoen;6;none;loose;0,1774;0,17114;0,1682;0,1648;0,16326;0,1552;88,45566;31,03883668;37;66;83;105;346;15,32598;5,17822492;7;12;14;18;58;0,24140683;0,213457621;0,019230769;0,08;0,15;0,352941176;1;0,159677941;0,207769716;0;0;0,071428571;0,263157895;0,958333333;0,154534304;0,204772396;0;0;0,066666667;0,25;0,958333333;0,150079069;0,203203853;0;0;0,058823529;0,25;0,958333333;0,146478335;0,201333963;0;0;0,052631579;0,25;0,954545455;0,147823522;0,204618208;0;0;0,05;0,25;0,952380952;0,297777098;0,226304614;0,020408163;0,111111111;0,25;0,416666667;1;10267;7534;6665;8029;6426;3366;1789;1262;1148;1006;755;566;420;261;175;104;101;58;29;17;407;5642;15861;17004;8922;2164;1;2,676780742;0,322110906;-148142,9955;296289,9911
daykin;6;none;loose;0,17406;0,17308;0,16772;0,16588;0,16306;0,1562;89,048;42,42775952;31;60;80;107;550;15,4243;7,075469649;6;11;14;18;92;0,247721042;0,187573648;0,02173913;0,105263158;0,1875;0,333333333;1;0,162771367;0,181466788;0;0;0,111111111;0,25;0,944444444;0,154482606;0,176821515;0;0;0,1;0,25;0,933333333;0,148996779;0,175700894;0;0;0,090909091;0,235294118;0,9375;0,142004482;0,171478051;0;0;0,086956522;0,227272727;0,9375;0,144023725;0,176711026;0;0;0,083333333;0,230769231;0,928571429;0,274937203;0,19801038;0,013333333;0,125;0,222222222;0,368421053;1;8209;10192;9563;7904;5468;3456;2176;1385;785;450;231;103;38;24;9;2;3;0;2;0;204;3202;11221;15962;12898;6513;1;2,644568913;0,42139055;-159965,6121;319935,2243
historical72;6;none;loose;0,17292;0,17052;0,16878;0,16434;0,16422;0,15922;104,29908;68,98960895;25;56;83;131;678;17,96672;11,50242142;5;10;14;22;114;0,270681827;0,194534171;0,01369863;0,117647059;0,220169492;0,375;1;0,175458531;0,184168963;0;0;0,125;0,272727273;0,944444444;0,157560889;0,174056145;0;0;0,109375;0,25;0,944444444;0,144499505;0,168808778;0;0;0,090909091;0,222222222;0,970588235;0,130907024;0,160178022;0;0;0,078947368;0,2;0,947368421;0,120892224;0,153838166;0;0;0,066666667;0,1875;0,909090909;0,24037761;0,195056539;0,01010101;0,090909091;0,176470588;0,333333333;1;13741;10154;7814;5774;3855;2496;1698;1235;923;626;434;333;264;164;117;96;71;45;39;24;194;2586;9842;15859;14024;7495;1;2,724168535;0,557237951;-177917,207;355838,4139
historical84;6;none;loose;0,1872;0,17728;0,17184;0,16216;0,15496;0,14656;57,3686;28,64744295;13;28;63;74;288;10,14798;4,781959772;3;5;11;13;49;0,313870697;0,23329752;0,025641026;0,125;0,25;0,454545455;1;0,157805329;0,204303945;0;0;0,076923077;0,25;0,941176471;0,143982905;0,198607455;0;0;0,066666667;0,25;0,9375;0,132635894;0,193185328;0;0;0;0,222222222;0,933333333;0,122559348;0,187957516;0;0;0;0,2;0,941176471;0,129145827;0,192884328;0;0;0;0,2;0,933333333;0,297175675;0,231274357;0,020408163;0,111111111;0,230769231;0,375;1;22064;12664;4932;2229;1761;1434;1261;975;882;767;547;274;127;40;23;12;3;1;2;2;834;8604;17050;14997;7073;1442;1;2,172922927;0,58286304;-152602,9209;305209,8417
abstract;3;swap;loose;0,36124;0,3336;0,30516;NA;NA;NA;85,55194;8,017173301;58;80;85;91;122;29,1745;2,6931756;20;27;29;31;41;0,33035151;0,324656793;0,026315789;0,04;0,181818182;0,580645161;1;0,316400091;0,324789536;0;0,033333333;0,1875;0,576923077;0,970588235;0,353248399;0,32560763;0;0,045454545;0,25;0,62962963;0,972222222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,525395046;0,327702852;0,025;0,206896552;0,533333333;0,846153846;1;2962;2495;2108;1903;1663;1565;1578;1373;1416;1344;1380;1361;1302;1302;1378;1307;1411;1450;1474;1585;2182;15755;32063;NA;NA;NA;1;3,369045694;0,092218085;-120219,2605;240442,521
ayres;3;swap;loose;0,34228;0,3305;0,32722;NA;NA;NA;45,26948;26,08290526;16;27;34;58,25;303;15,7554;8,702200033;6;10;12;20;102;0,368288332;0,249418604;0,024390244;0,133333333;0,333333333;0,529411765;1;0,298424167;0,247500009;0;0,085714286;0,272727273;0,454545455;0,962962963;0,333287501;0,254876729;0;0,111111111;0,322580645;0,5;0,962962963;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,371772997;0,24793198;0,012987013;0,2;0,3125;0,45;1;2965;7840;11259;8308;4093;2394;2369;2335;1975;1559;1149;827;625;468;384;396;363;267;189;89;1311;15834;32855;NA;NA;NA;1;2,636729603;0,469757265;-165006,4481;330016,8961
tantra;3;swap;loose;0,34098;0,33322;0,3258;NA;NA;NA;51,8549;20,17141105;19;36;49;63;208;17,94916;6,73148435;7;13;17;22;70;0,351424232;0,259446982;0,020833333;0,117647059;0,285714286;0,538461538;1;0,307319473;0,260995954;0;0,083333333;0,25;0,5;0,965517241;0,341256294;0,267152749;0;0,111111111;0,285714286;0,545454545;0,96875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,487199536;0,221404564;0,019607843;0,315789474;0,470588235;0,636363636;1;828;699;727;2218;6102;9129;8326;5925;3989;2863;2045;1462;1140;1009;913;806;589;426;307;181;949;12433;36618;NA;NA;NA;1;2,823047065;0,355709042;-160417,1709;320838,3418
althoen;3;swap;loose;0,34226;0,32992;0,32782;NA;NA;NA;59,78866;26,28941723;19;41;55;73;290;20,59552;8,767299085;7;14;19;25;97;0,361033603;0,262801267;0,018867925;0,125;0,3125;0,535714286;1;0,30775688;0,263003951;0;0,071428571;0,263157895;0,487179487;0,972222222;0,331209516;0,26873931;0;0,090909091;0,294117647;0,52173913;0,975;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,367560964;0,278598969;0,01369863;0,136363636;0,3;0,529411765;1;6217;4174;4226;6124;6003;4124;2673;2240;2121;2173;1889;1613;1345;1109;888;737;596;443;343;264;1309;14371;34320;NA;NA;NA;1;2,94348001;0,40072443;-172396,8624;344797,7248
